# Список (потенциально всех) русских названий улиц
# Для удобства:
# - Не удаляйте заголовок
# - Поддерживайте сортировку списка (см. скрипт sort.sh)
# - Добавляйте комментарии к неочевидным названиям (Ангелов переулок,
#   Усачёва улица) и проблемам с е/ё; в комментарии указывайте регион,
#   где название встречается и, если возможно, ссылки на информацию
#   почему название именно такое
# - Комментарии начинаются с # <- 30-й позиции в строке
# - Возможные ошибки, которые надо расследовать и исправить, отмечаются
#   XXX или FIXME
# - Для названий, проверенных по внешним источникам, добавляйте тэги
#   в комментариях. При изменении, соответственно, тэг следует убрать.
#   На данный момент:
#     [ОМКУМ] - классификатор улиц Москвы
1-й Каштановый проезд
1-й Квартальный проезд
1-й Кировский проезд
1-й Кирпичный переулок
1-й Кирпичный проезд
1-й Кленовый переулок
1-й Клубный проезд
1-й Ключевой проезд
1-й Кожевнический переулок
1-й Кожуховский проезд
1-й Коллективный переулок
1-й Коллективный проезд
1-й Колобовский переулок
1-й Коломенский проезд
1-й Колхозный переулок
1-й Колхозный проезд
1-й Кольцевой проезд
1-й Коммунальный переулок
1-й Коммунальный проезд
1-й Комсомольский переулок
1-й Комсомольский проезд
1-й Кооперативный проезд
1-й Коптельский переулок
1-й Коренёвский тупик
1-й Котельнический переулок
1-й Котляковский переулок
1-й Крайний проезд
1-й Красковский проезд
1-й Красноармейский переулок
1-й Красногвардейский проезд
1-й Красногорский проезд
1-й Краснодонский переулок
1-й Краснокурсантский проезд
1-й Красносельский переулок
1-й Крекингский тупик
1-й Кремовый тупик
1-й Крутицкий переулок
1-й Крымский проезд
1-й Кузнечный проезд
1-й Курортный переулок
1-й Курьяновский проезд
1-й Кутузовский проезд
1-й Лавандовый тупик
1-й Ласковый тупик
1-й Леденцовский переулок
1-й Ленинградский переулок
1-й Ленинградский проезд
1-й Ленинский переулок
1-й Ленинский проезд
1-й Лермонтовский проезд
1-й Лесной переулок
1-й Лесной тупик
1-й Лесопильный тупик
1-й Летний переулок
1-й Линейный переулок
1-й Линейный проезд
1-й Лихачёвский переулок
1-й Ломоносовский проезд
1-й Лопатинский проезд
1-й Луговой переулок
1-й Луговой проезд
1-й Лучевой просек
1-й Лыковский проезд
1-й Люберецкий проезд
1-й Люсиновский переулок
1-й Лётный переулок
1-й Магистральный переулок
1-й Магистральный проезд
1-й Магистральный тупик
1-й Малаховский проезд
1-й Малиновый переулок
1-й Малиновый проезд
1-й Малополивановский тупик
1-й Малый Северный проезд
1-й Малый проезд
1-й Манежный переулок
1-й Машиностроительный переулок
1-й Медведковский мост
1-й Международный проезд
1-й Мелиоративный переулок
1-й Мельничный переулок
1-й Мельничный проезд
1-й Минский проезд
1-й Миргородский переулок
1-й Митинский переулок
1-й Михайловский проезд
1-й Михельсоновский проезд
1-й Мичуринский проезд
1-й Мичуринский тупик
1-й Можайский тупик
1-й Молодёжный переулок
1-й Монастырский переулок
1-й Монетчиковский переулок
1-й Монтажный проезд
1-й Московский переулок
1-й Моторный проезд
1-й Муринский проспект
1-й Мытный переулок
1-й Мясницкий проезд
1-й Набережный переулок
